idade,experiencia,sexo,escolaridade,salario
50.0,25,0,2,5903.73
36.0,16,0,1,4867.13
29.0,9,0,0,4019.73
42.0,17,1,2,4956.23
40.0,18,0,0,5353.12
44.0,23,1,1,5258.53
32.0,11,0,0,4112.04
32.0,11,0,2,4389.4
45.0,20,1,2,5368.52
45.0,25,0,1,5911.71
24.0,0,1,0,3077.35
43.0,18,0,2,5234.57
23.0,0,0,1,2495.82
45.0,25,1,2,5277.9
51.0,27,0,2,5759.39
42.0,22,0,2,4952.79
54.0,34,1,0,6141.0
33.0,13,1,2,4007.97
43.0,22,0,1,5405.68
46.0,25,0,2,5464.83
48.0,24,1,0,5510.18
49.0,25,0,0,5459.51
36.0,12,0,2,4756.65
28.0,3,1,1,3489.13
42.0,17,1,2,4591.14
30.0,5,1,2,3829.13
39.0,15,1,0,4313.4
25.0,2,1,2,3049.46
46.0,25,1,2,6089.52
35.0,12,1,1,4410.0
30.0,6,1,1,3716.95
41.0,20,0,2,5326.0
28.0,5,0,0,3032.1
29.0,7,1,0,3485.45
35.0,13,1,1,4097.74
38.0,17,1,0,4430.98
25.0,4,1,2,3732.91
23.0,1,0,2,3386.37
27.0,7,1,0,3384.68
25.0,5,1,2,3505.44
50.0,27,1,2,5815.63
47.0,25,1,0,5608.85
31.0,9,0,2,3654.88
